Item_name,ID,Category,URL,Image_file
KLIPPAN คลิปปัน,1.0,couch,https://www.ikea.com/th/th/p/klippan-2-seat-sofa-vissle-green-s59561664/,couch/couch1.png
HEMLINGBY เฮมลิงบี,2.0,couch,https://www.ikea.com/th/th/p/hemlingby-2-seat-sofa-knisa-dark-grey-70434368/,couch/couch2.png
ESSEBODA เอ็สเซบูดา,3.0,couch,https://www.ikea.com/th/th/p/esseboda-3-seat-sofa-knaebaeck-anthracite-brown-s39443520/,couch/couch3.png
SÖDERHAMN เซอเดอร์ฮัมน์,4.0,couch,http://ikea.com/th/th/p/soederhamn-3-seat-section-viarp-beige-brown-s69305616/,couch/couch4.png
FRIHETEN ฟรีเฮตเตน,5.0,couch,https://www.ikea.com/th/th/p/friheten-corner-sofa-bed-with-storage-skiftebo-dark-grey-s09216755/,couch/couch5.png
GLOSTAD กลูสตอด,6.0,couch,https://www.ikea.com/th/th/p/glostad-2-seat-sofa-knisa-dark-grey-10489009/,couch/couch6.png
VIMLE วิมเล,7.0,couch,https://www.ikea.com/th/th/p/vimle-2-seat-sofa-saxemara-black-blue-s49399017/#content,couch/couch7.png
SMEDSTORP สเมียดสตอร์ป,8.0,couch,https://www.ikea.com/th/th/p/smedstorp-2-seat-sofa-lejde-red-brown-birch-s79463653/,couch/couch8.png
FRIDHULT ฟรีดฮุลท์,9.0,couch,https://www.ikea.com/th/th/p/fridhult-sofa-bed-knisa-light-grey-60355762/#content,couch/couch9.png
EKTORP เอียคทอร์ป,10.0,couch,https://www.ikea.com/th/th/p/ektorp-2-seat-sofa-kilanda-dark-blue-s99509023/#content,couch/couch10.png
LILLEHEM ลิลเลเฮม,11.0,couch,https://www.ikea.com/th/th/p/lillehem-2-seat-modular-sofa-gunnared-dark-grey-wood-s79471262/#content,couch/couch11.png
LANDSKRONA ลันด์สครูน่า,12.0,couch,https://www.ikea.com/th/th/p/landskrona-three-seat-sofa-grann-bomstad-black-metal-s79031701/,couch/couch12.png
STOCKHOLM สตอกโฮล์ม,13.0,couch,https://www.ikea.com/th/th/p/stockholm-three-seat-sofa-seglora-natural-30245044/,couch/couch13.png
